Token,Frequency
agudeza,185
ingenio,101
concepto,95
man,82
world,48
universal,39
conceptus,33
insight,29
arte,25
ser,25
parecer,25
aesthetic,24
andrenio,24
mind,23
conceit,22
rhetoric,22
concept,22
stars,22
god,21
sky,18
understanding,17
reason,17
order,17
knowledge,17
intellect,17
criticón,16
epistemological,16
realm,16
verdad,16
beyond,15
thought,15
correspondencia,15
parker,15
critilo,15
experience,14
variety,14
word,14
formalis,14
divine,14
night,14
truth,13
process,13
woods,13
suárez,13
connections,13
sun,12
blanco,11
relation,11
conceptualisation,11
artificio,11
creation,11
language,10
spanish,10
expression,10
obiectivus,10
existence,9
objective,9
term,9
rational,9
being,9
sense,9
entendimiento,9
rapture,9
admiración,9
héroe,8
time,8
understand,8
sarmiento,8
words,8
rhetorical,8
realms,8
perception,8
practice,8
surface,8
product,8
moment,8
exist,8
point,8
action,8
dicitur,8
ability,8
oráculo,7
faculty,7
transient,7
nature,7
clarity,7
perceive,7
formal,7
sutileza,7
deliberated,7
content,7
conceptos,7
role,7
beauty,7
consciousness,7
interconnectedness,7
changeability,7
reality,7
artificiosa,7
gusto,7
hermosura,7
mundo,7
cielo,7
french,6
philosophical,6
elevate,6
epistemology,6
temporary,6
granted,6
andersen,6
particular,6
title,6
materia,6
forma,6
composición,6
perfect,6
conceptualises,6
exterior,6
narrative,6
inherent,6
act,6
ratio,6
access,6
artificial,6
cave,6
source,6
creator,6
discreto,5
production,5
translation,5
english,5
spain,5
elements,5
conceptist,5
art,5
accessed,5
conceptualise,5
spontaneous,5
remit,5
subject,5
coherence,5
estilo,5
articulated,5
figuras,5
retóricas,5
perfección,5
appearance,5
fiction,5
links,5
conscious,5
latin,5
abstract,5
acte,5
pensée,5
consonancia,5
ojos,5
attention,5
necessity,5
juicio,5
novelty,5
plato,5
chaotic,5
abilities,5
variedad,5
estrellas,5
trabazón,5
place,4
expressed,4
success,4
reach,4
popularity,4
alternative,4
device,4
intuitive,4
ontology,4
atemporal,4
seeds,4
innate,4
circumstances,4
infinite,4
classifications,4
familiar,4
style,4
examples,4
simple,4
deliberation,4
fundamento,4
together,4
balance,4
worldly,4
essence,4
relationship,4
exaltation,4
plane,4
intellectual,4
direct,4
individual,4
manifestation,4
synonymous,4
obiectiva,4
