Token,Frequency
conceit,111
art,46
agudeza,39
discourse,36
edition,25
simile,25
example,24
mind,23
discourses,23
comparison,17
conceits,16
relationship,16
conceptist,14
ingenio,13
essence,12
sutileza,12
semejanza,12
modes,11
far,11
being,11
types,11
mental,10
relationships,10
arte,9
conceptos,9
great,9
expression,9
fundamental,9
figure,9
quality,9
statement,9
reason,9
quoted,9
essential,9
beauty,9
juxtaposition,9
examples,9
course,9
fire,9
thought,8
matter,8
metaphor,8
continuation,8
similarity,8
whole,8
artificio,8
nature,7
spanish,7
devoted,7
rhetoric,7
real,7
passage,7
simple,7
concepto,7
objects,7
point,7
word,7
elements,7
intellectual,6
modern,6
speech,6
preliminary,6
ground,6
consideration,6
sujeto,6
rest,6
classification,6
distinction,6
exist,6
doubt,6
love,6
baroque,6
new,6
keenness,5
implied,5
modos,5
attitude,5
intellect,5
concept,5
theory,5
false,5
analogy,5
possible,5
figures,5
justification,5
emotional,5
terminos,5
number,5
application,5
together,5
include,5
method,5
style,5
objetos,5
extremos,5
correspondencia,5
true,5
clear,5
truth,5
understanding,5
words,5
division,5
order,5
aspect,5
every,5
term,5
own,5
additional,5
ashes,5
interest,5
quotations,5
artist,5
strange,4
object,4
author,4
effect,4
red,4
lobster,4
produce,4
poetic,4
striking,4
ordinary,4
greater,4
interesting,4
artistic,4
construction,4
soul,4
proportion,4
question,4
effective,4
admit,4
fancy,4
pura,4
anything,4
percepts,4
martial,4
dealt,4
special,4
sin,4
principle,4
flame,4
value,4
brevity,4
hundred,4
editions,4
place,4
symbolism,4
world,4
classical,4
light,4
